City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
215,kalmar,SE,56.6616,16.3616,43.14,84,75,16.11,light rain
216,guerrero negro,MX,27.9769,-114.0611,58.87,82,36,7.54,scattered clouds
217,deputatskiy,RU,69.3,139.9,-32.71,97,100,2.44,overcast clouds
218,buedu,SL,8.2803,-10.3719,65.16,37,76,2.77,broken clouds
219,padang,ID,-0.9492,100.3543,86.05,67,100,5.95,overcast clouds
220,sayyan,YE,15.1718,44.3244,60.44,39,0,3.53,clear sky
221,atar,MR,20.5169,-13.0499,62.64,28,0,10.76,clear sky
222,mariental,NA,-24.6333,17.9667,89.74,13,0,12.35,clear sky
223,normandin,CA,48.8333,-72.5321,8.91,66,86,12.66,overcast clouds
224,benguela,AO,-12.5763,13.4055,77.45,72,100,3.58,overcast clouds
225,kismayo,SO,-0.3582,42.5454,83.95,62,8,17.56,clear sky
226,grindavik,IS,63.8424,-22.4338,23.47,68,0,8.05,clear sky
227,sao francisco,BR,-15.9486,-44.8644,68.13,96,100,2.64,overcast clouds
228,nizhniy baskunchak,RU,48.2198,46.8311,21.27,65,0,18.21,clear sky
229,alofi,NU,-19.0595,-169.9187,75.09,83,45,1.14,scattered clouds
230,namibe,AO,-15.1961,12.1522,76.93,73,100,1.34,overcast clouds
231,bara,NG,10.3744,10.7288,67.78,18,100,7.96,overcast clouds
232,gazojak,TM,41.1875,61.4036,22.06,50,0,15.21,clear sky
233,komsomolskiy,UZ,40.4272,71.7189,16.52,67,33,2.3,haze
234,ibotirama,BR,-12.1853,-43.2206,67.53,95,7,1.52,clear sky
235,tuy hoa,VN,13.0833,109.3,84.16,71,81,3.74,broken clouds
